wannier90 format for mvmcdry
        10
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -1    8    8   0.1169056545  -0.0000239419
   -3   -3   -1    8    9   0.1169959363  -0.0000241003
   -3   -3   -1    8   10   0.1174697282  -0.0000290382
   -3   -3   -1    9    1   0.0663091965   0.0004141932
   -3   -3   -1    9    2   0.0660654854   0.0004141144
   -3   -3   -1    9    3   0.0663074842   0.0004122829
   -3   -3   -1    9    4   0.0661191190   0.0004139567
   -3   -3   -1    9    5   0.0668828830   0.0004130088
   -3   -3   -1    9    6   0.1173160665  -0.0000266181
   -3   -3   -1    9    7   0.1171057684  -0.0000242634
   -3   -3   -1    9    8   0.1169963237  -0.0000241478
   -3   -3   -1    9    9   0.1170532731  -0.0000244380
   -3   -3   -1    9   10   0.1175164176  -0.0000293072
   -3   -3   -1   10    1   0.0671539072   0.0004137317
   -3   -3   -1   10    2   0.0668813483   0.0004133612
   -3   -3   -1   10    3   0.0670655853   0.0004113521
   -3   -3   -1   10    4   0.0668816772   0.0004129528
   -3   -3   -1   10    5   0.0677069365   0.0004124807
   -3   -3   -1   10    6   0.1177385799  -0.0000314678
   -3   -3   -1   10    7   0.1175211510  -0.0000293141
   -3   -3   -1   10    8   0.1174750475  -0.0000290958
   -3   -3   -1   10    9   0.1175216719  -0.0000293512
   -3   -3   -1   10   10   0.1179434644  -0.0000339986
   -3   -3    0    1    1   0.1472331427  -0.0002770394
   -3   -3    0    1    2   0.1467938382  -0.0002688431
   -3   -3    0    1    3   0.1468605720  -0.0002643953
   -3   -3    0    1    4   0.1467934035  -0.0002687998
   -3   -3    0    1    5   0.1474222249  -0.0002809962
   -3   -3    0    1    6   0.0956327693   0.0001542656
   -3   -3    0    1    7   0.0953427251   0.0001549702
   -3   -3    0    1    8   0.0954768676   0.0001543225
   -3   -3    0    1    9   0.0953416185   0.0001548674
   -3   -3    0    1   10   0.0959983134   0.0001515374
   -3   -3    0    2    1   0.1467938361  -0.0002686948
   -3   -3    0    2    2   0.1464828306  -0.0002602274
   -3   -3    0    2    3   0.1465550403  -0.0002562933
   -3   -3    0    2    4   0.1464675125  -0.0002607802
   -3   -3    0    2    5   0.1469965634  -0.0002727046
   -3   -3    0    2    6   0.0953436555   0.0001548980
   -3   -3    0    2    7   0.0949989816   0.0001550363
   -3   -3    0    2    8   0.0951328797   0.0001545782
   -3   -3    0    2    9   0.0950044318   0.0001552093
   -3   -3    0    2   10   0.0957109799   0.0001521698
   -3   -3    0    3    1   0.1468605705  -0.0002642834
   -3   -3    0    3    2   0.1465550398  -0.0002562570
   -3   -3    0    3    3   0.1466645071  -0.0002521904
   -3   -3    0    3    4   0.1465553586  -0.0002562654
   -3   -3    0    3    5   0.1470551176  -0.0002682573
   -3   -3    0    3    6   0.0954804683   0.0001542926
   -3   -3    0    3    7   0.0951352079   0.0001546160
   -3   -3    0    3    8   0.0952784707   0.0001540293
   -3   -3    0    3    9   0.0951339358   0.0001545789
   -3   -3    0    3   10   0.0958502965   0.0001515601
   -3   -3    0    4    1   0.1467934032  -0.0002687650
   -3   -3    0    4    2   0.1464675124  -0.0002607929
   -3   -3    0    4    3   0.1465553587  -0.0002562924
   -3   -3    0    4    4   0.1464832617  -0.0002602390
   -3   -3    0    4    5   0.1469957265  -0.0002727686
   -3   -3    0    4    6   0.0953437850   0.0001548837
   -3   -3    0    4    7   0.0950054576   0.0001553003
   -3   -3    0    4    8   0.0951323699   0.0001546177
   -3   -3    0    4    9   0.0949974794   0.0001550387
   -3   -3    0    4   10   0.0957111363   0.0001521380
   -3   -3    0    5    1   0.1474222250  -0.0002810040
   -3   -3    0    5    2   0.1469965654  -0.0002728437
   -3   -3    0    5    3   0.1470551190  -0.0002683661
   -3   -3    0    5    4   0.1469957269  -0.0002728126
   -3   -3    0    5    5   0.1476168420  -0.0002850341
   -3   -3    0    5    6   0.0959984072   0.0001515405
   -3   -3    0    5    7   0.0957102197   0.0001522479
   -3   -3    0    5    8   0.0958469398   0.0001515894
   -3   -3    0    5    9   0.0957091132   0.0001521164
   -3   -3    0    5   10   0.0963402003   0.0001487852
   -3   -3    0    6    1   0.0956328315   0.0001535665
   -3   -3    0    6    2   0.0953437275   0.0001538038
   -3   -3    0    6    3   0.0954805345   0.0001529464
   -3   -3    0    6    4   0.0953438468   0.0001538002
   -3   -3    0    6    5   0.0959984699   0.0001507757
   -3   -3    0    6    6   0.1472296370  -0.0002771555
   -3   -3    0    6    7   0.1467900308  -0.0002688973
   -3   -3    0    6    8   0.1468584910  -0.0002644275
   -3   -3    0    6    9   0.1467897642  -0.0002688637
   -3   -3    0    6   10   0.1474181896  -0.0002811226
   -3   -3    0    7    1   0.0953427976   0.0001537075
   -3   -3    0    7    2   0.0949990624   0.0001534860
   -3   -3    0    7    3   0.0951352851   0.0001527517
   -3   -3    0    7    4   0.0950055326   0.0001536039
   -3   -3    0    7    5   0.0957102929   0.0001508819
   -3   -3    0    7    6   0.1467900309  -0.0002688797
   -3   -3    0    7    7   0.1464794133  -0.0002603430
   -3   -3    0    7    8   0.1465529506  -0.0002563672
   -3   -3    0    7    9   0.1464638101  -0.0002608865
   -3   -3    0    7   10   0.1469917481  -0.0002728957
   -3   -3    0    8    1   0.0954769338   0.0001528576
   -3   -3    0    8    2   0.0951329561   0.0001527576
   -3   -3    0    8    3   0.0952785439   0.0001519386
   -3   -3    0    8    4   0.0951324402   0.0001526844
   -3   -3    0    8    5   0.0958470069   0.0001500610
   -3   -3    0    8    6   0.1468584918  -0.0002644466
   -3   -3    0    8    7   0.1465529510  -0.0002563820
   -3   -3    0    8    8   0.1466634565  -0.0002522756
   -3   -3    0    8    9   0.1465528806  -0.0002563772
   -3   -3    0    8   10   0.1470521868  -0.0002684287
   -3   -3    0    9    1   0.0953416797   0.0001537832
   -3   -3    0    9    2   0.0950045050   0.0001536878
   -3   -3    0    9    3   0.0951340052   0.0001527494
   -3   -3    0    9    4   0.0949975446   0.0001534194
   -3   -3    0    9    5   0.0957091753   0.0001509849
   -3   -3    0    9    6   0.1467897655  -0.0002689027
   -3   -3    0    9    7   0.1464638105  -0.0002608978
   -3   -3    0    9    8   0.1465528804  -0.0002563614
   -3   -3    0    9    9   0.1464788026  -0.0002603355
   -3   -3    0    9   10   0.1469915780  -0.0002729181
   -3   -3    0   10    1   0.0959983762   0.0001507800
   -3   -3    0   10    2   0.0957110527   0.0001509844
   -3   -3    0   10    3   0.0958503637   0.0001501493
   -3   -3    0   10    4   0.0957111991   0.0001509977
   -3   -3    0   10    5   0.0963402636   0.0001479561
   -3   -3    0   10    6   0.1474181894  -0.0002811086
   -3   -3    0   10    7   0.1469917479  -0.0002728976
   -3   -3    0   10    8   0.1470521860  -0.0002683949
   -3   -3    0   10    9   0.1469915766  -0.0002728655
   -3   -3    0   10   10   0.1476123830  -0.0002851485
   -3   -3    1    1    1   0.1175226330  -0.0000288643
   -3   -3    1    1    2   0.1173165539  -0.0000265436
   -3   -3    1    1    3   0.1172519624  -0.0000262940
   -3   -3    1    1    4   0.1173176459  -0.0000266096
   -3   -3    1    1    5   0.1177350027  -0.0000313715
   -3   -3    1    1    6   0.0665884969   0.0004141845
   -3   -3    1    1    7   0.0663099739   0.0004129159
   -3   -3    1    1    8   0.0665130851   0.0004110652
   -3   -3    1    1    9   0.0663092628   0.0004132753
   -3   -3    1    1   10   0.0671539735   0.0004128797
   -3   -3    1    2    1   0.1173148433  -0.0000265309
   -3   -3    1    2    2   0.1170510654  -0.0000243271
   -3   -3    1    2    3   0.1169963032  -0.0000240242
   -3   -3    1    2    4   0.1171055002  -0.0000241675
